Title,Location,Rooms,Size,Floor,Series,Price
"Fasādes māja, renovēta māja, labiekārtota apzaļumota teritorija,",centrsMiera 105,2,48,1/5,P. kara,440  €/mēn.
"Хозяин сдает очень светлую, теплую квартиру, после косметическог",TeikaBurtnieku 35,1,15,4/4,Specpr.,190  €/mēn.
"Īpašnieks izīrē, kompaktu, gaišu un siltu ar mēbelēm un sadzīves",TeikaTālivalža 20,1,21,4/4,Specpr.,280  €/mēn.
"Balkons, 2 guļamistabas. Dzīvoklis ar Vecrīgas skatiem. 

Ērts",VecrīgaGrēcinieku 8,3,114,5/5,Renov.,850  €/mēn.
Izīrē dzīvokli pašā Rīgas centrā. Parastā stāvoklī. Ļoti labā vi,centrsBirznieka-Upīša 27,3,60,6/6,Renov.,300  €/mēn.
Сдается на длительный срок (больше полугода) комната в хостеле.,centrsBarona 82A,1,11,1/1,Renov.,165  €/mēn.
"Labdien. Izire 2 istabu dzivokli laba stāvoklī, 
no īpašnieka.",Šampēteris-PleskodāleLielirbes 13,2,68,10/30,Jaun.,80  €/dienā
Īpašnieks izīrē dzīvokli. Dzīvoklis ir pilnībā aprīkots sadzīves,Maskavas priekšpilsētaKatoļu 29,2,36,6/6,Renov.,380  €/mēn.
Lieliska studija ar ekskluzīvu apdari privātmājā. Komunālie ir p,DārzciemsKaibalas 28,1,25,1/2,Priv. m.,270  €/mēn.
"Īstermiņā tiek izīrēts saulains, mājīgs jauns vienistabas dzīvok",centrsVagonu 22,1,27,2/5,Renov.,33  €/dienā
"Сдаёт хозяин на длительный срок отличную квартиру с хорошим, све",PurvciemsNīcgales 53b,1,34,4/5,103.,310  €/mēn.
"На май-сентябрь или меньше аккуратным, платежеспособным, некурящ",ĶengaragsMaskavas 256/6,2,44,2/5,LT proj.,350  €/mēn.
"Teikā ilgtermiņa īrei, mūra mājā tiek piedāvāts 2istabu dzīvokli",TeikaBrīvības 287,2,43,1/4,Renov.,385  €/mēn.
Izīrē mājīgu un modernu studijas tipa vienistabas dzīvokli renov,MežaparksEzermalas 4A,1,30,5/5,Renov.,300  €/mēn.
"Īpašnieks ilgtermiņa īrei piedāvā dzīvokļus renovētā namīpašumā,",centrsVīlandes 14,3,149,2/5,P. kara,"1,188  €/mēn."
Renting out a stylish and cozy studio in the very heart of Old R,VecrīgaŠķūņu 6,1,15,2/3,Renov.,30  €/dienā
"Īstermiņā tiek izīrēts saulains, mājīgs jauns vienistabas dzīvok",centrsDzirnavu 63,1,25,3/5,Renov.,35  €/dienā
"Rīgas centrā ilgtermiņa īrei, mūra mājā tiek piedāvāts vienistab",centrsLāčplēša 115,1,34,3/3,Jaun.,330  €/mēn.
"Сдаю на длительный срок, отопление печное, оплата за первый и по",SarkandaugavaPriežu 14b,1,22,2/2,P. kara,160  €/mēn.
"Plašs, gaišs divistabu dzīvoklis ar romantisku balkonu. Bez mēbe",centrsĢertrūdes 121A,2,44,6/6,Renov.,500  €/mēn.
Miniatūrs studijas dzīvoklis iekšpagalma ēkā. Teicami piemērots,centrsAlauksta 13A,1,20,2/6,Renov.,280  €/mēn.
"Сдается квартира в тихом месте. Продуктовые магазины, общественн",JuglaMurjāņu 36,2,43,5/5,LT proj.,350  €/mēn.
Kompakts studijas tipa dzīvoklis ar skatu uz iekšpagalmu. Piemēr,centrsĢertrūdes 121B,1,24,5/6,Renov.,350  €/mēn.
Izīrēju vienistabas dzīvokli pilnībā aprīkotu ar visu nepiecieša,centrsTallinas 70,1,32,1/6,P. kara,25  €/dienā
"Elegants divistabu dzīvoklis, prestižā, renovētā mājā Klusajā ce",centrsRūpniecības 11,2,52,2/6,Renov.,800  €/mēn.
Mansarda dzīvoklis tiek piedāvāts ilgtermiņā īres namā. Apkure/m,centrsAlberta 11,2,92,7/7,P. kara,380  €/mēn.
Saimnieks Izīrē dzīvokli. Silts 3istabu dzīvoklis. 3 izolētas is,centrsAlberta 11,3,93,3/6,P. kara,390  €/mēn.
Attīstītājs izīrē 3 istabu dzīvokli ar diviem balkoniem Jaunajā,centrsCēsu 9,3,72,5/7,Jaun.,"1,100  €/mēn."
"Ilgtermiņā īrei tiek piedāvāts plašs, gaišs, kapitāli remontēts",centrsStabu 95,1,42,5/5,P. kara,400  €/mēn.
"Ilgtermiņa īrei pieejams 52 m2 liels 2-istabu dzīvoklis Rīgā, Ja",TeikaRopažu 14B,2,52,7/10,Jaun.,690  €/mēn.
Nepieciešams remonts. Dzīvoklis vienā no Rīgas perspektīvākajiem,centrsMiera 101,2,39,3/5,P. kara,155  €/mēn.
Tiek izīrēts plašs pārveidots divistabu dzīvoklis ar vēsturisku,centrsEksporta 3,2,80,5/5,P. kara,725  €/mēn.
"Diskrēti un draudzīgi, īstermiņā, cena atkarīga no cilvēku skait",ČiekurkalnsČiekurkalna 2. l. 2līn,1,25,1/2,P. kara,35  €/dienā
"Ilgtermiņa īrei 3 istabu dzīvoklis pašā Rīgas centrā, Daugavas k",centrsRepublikas laukums 3,3,106,2/7,Jaun.,700  €/mēn.
"Atsevišķs viesnīcas tipa dzīvoklis, īrei uz ilgstošu laiku. Numu",centrsLāčplēša 147,1,15,1/4,Jaun.,210  €/mēn.
Dzīvoklis ar labu remontu un īstām parketa grīdām. Divas caursta,centrsLienes 9,2,55,2/5,P. kara,370  €/mēn.
Kārtīgiem īrniekiem bez mājdzīvniekiem un kaitīgiem ieradumiem i,centrsTērbatas 82a,2,57,5/5,P. kara,500  €/mēn.
"Сдается теплая светлая студийного типа квартира в центре города,",centrsKlusā 18,1,20,5/8,Jaun.,285  €/mēn.
"Сдается теплая светлая квартира порядочным людям. 
Квартира обо",IļģuciemsŠauļu 1,2,50,4/5,LT proj.,295  €/mēn.
"Izīrē studio tipa dzīvokli. Uz dzīvokli ir sava ieeja, nav nepie",ĀgenskalnsKalnciema 81,1,33,1/2,P. kara,320  €/mēn.
"Mazi komunalie maksajumi- vasarā 20 eiro, ziemā 60-80 eiro. Pake",VecmīlgrāvisMeldru 10,1,18,3/4,Specpr.,180  €/mēn.
Сдаётся 1 комнатная квартира с ремонтом и со всеми удобствами на,BolderājaFiniera 17,1,38,4/9,Specpr.,220  €/mēn.
"Malkas apkure, 
Dzīvoklis labā stāvoklī, boilers, stikla pakete",Maskavas priekšpilsētaKalna 10,1,23,2/2,P. kara,180  €/mēn.
Istabas izolētas. Dzīvoklis nav stūra un ļoti silts. Lodžija sti,ZiepniekkalnsOzolciema 42/1,2,52,9/9,602.,300  €/mēn.
Tiek piedāvāts 1- ist. dzīvoklis ar centr. apkuri. Jauna santehn,centrsMūrnieku 9,1,30,2/3,Renov.,300  €/mēn.
"Izīrē 1-istabas dzīvokli ar visām ērtībām. Centrāla apkure, dzel",Maskavas priekšpilsētaViļānu 7,1,27,2/5,Renov.,250  €/mēn.
"Izīrēju 2-istabu dzīvokli, kurš aprīkots ar visu nepieciešamo sa",PļavniekiJasmuižas 11,2,50,2/9,602.,320  €/mēn.
"В долгосрочную аренду предлагается просторная, в классическом ст",centrsValdemāra 53,4,116,3/5,P. kara,850  €/mēn.
"Tiek izīrēts gaišs, silts, mājīgs 3-istabu dzīvoklis. Dzīvoklī t",ĶengaragsVišķu 1,3,60,9/9,467.,450  €/mēn.
"Elegants 4 istabu dzīvoklis Vecrīgas sirdī. 

Vecpilsēta ir vi",VecrīgaAudēju 10,4,140,3/5,Renov.,"1,200  €/mēn."
"Elegants 2 istabu dzīvoklis Rīgas centrā. 

Lieliska atrašanās",centrsAvotu 7,2,49,2/5,P. kara,650  €/mēn.
"Kvalitatīvs dzīvoklis ar balkonu Klusajā centrā. 

Izbaudiet d",centrsRūpniecības 27,2,53,3/5,Jaun.,900  €/mēn.
"Elegants 4 istabu dzīvoklis Rīgas sirdī. 

Augstākās kvalitāte",centrsValdemāra 4,4,110,3/6,P. kara,"1,900  €/mēn."
"Dzīvoklis, kuru Jūs nevēlaties pamest. 

Moderns 3 istabu dzīv",ĀgenskalnsRaņķa d. 34,3,108,19/24,Jaun.,"2,500  €/mēn."
"Īrei pieejams studio tipa dzīvoklis jaunajā projektā. 

Dzīvok",centrsSadovņikova 31,1,20,4/7,Jaun.,290  €/mēn.
"Pieejams īrei 1 istabu dzīvoklis jaunajā projektā. 

Dzīvoklis",centrsSadovņikova 31,1,26,4/7,Jaun.,325  €/mēn.
"Īrei pieejams 2 istabu dzīvoklis jaunajā projektā. 

Dzīvoklis",centrsSadovņikova 31,2,36,3/7,Jaun.,442  €/mēn.
"Квартира с красивым видом, светлая, уютная. Отличная планировка:",MežaparksKokneses pr. 4/1,4,126,7/12,Jaun.,950  €/mēn.
Сдаётся светлая и уютная квартира. Отличная планировка: две спал,MežaparksKokneses pr. 4/1,3,76,5/12,Jaun.,700  €/mēn.
Собственник сдает на длительный срок просторную 2х комнатную ква,TeikaRopažu 5,2,53,2/5,Specpr.,350  €/mēn.
Tiek izīrēts kompakts studio tipa 2 istabu dzīvoklis Āgenskalnā.,ĀgenskalnsTapešu 24,2,48,3/5,Hrušč.,450  €/mēn.
"Сдается 1комнатная, мебилированая
квартира 104 серии, 3/16. Теп",MežciemsHipokrāta 11,1,46,3/16,104.,280  €/mēn.
"Vasaras sezonā tuvajā Pārdaugavā izīrē dzīvokli, 40 eiro dienā,",ĀgenskalnsĀgenskalna 1,2,50,2/2,Renov.,40  €/dienā
"Pilnībā aprīkots Silvas nami 3 projekta
Dzelzavas iela 108 2-is",PurvciemsDzelzavas 108,2,46,7/7,Jaun.,550  €/mēn.
С 05.06.24 cдаються сервисные апартаменты в недавно отреставриро,ĀgenskalnsVentspils 63c,1,22,2/3,Renov.,350  €/dienā
"Izīrēju 2 istabu dzīvokli Juglā, zaļajā apkārtnē Tirzas ielā 3 k",JuglaTirzas 3,2,55,2/5,Specpr.,500  €/mēn.
Сдаётся на длительный срок абсолютно новая 2-ух комнатная кварти,MežciemsHipokrāta 20,2,45,1/5,Jaun.,750  €/mēn.
Izīrēju ilgtermiņā 1-istabas (35 kvm) dzīvokli mazģimeņu projekt,DārzciemsZeltiņu 54,1,42,4/5,M. ģim.,250  €/mēn.
"Сдается 3-х комнатная квартира в центре Риги, в новом микрорайон",centrsGrostonas 25,3,84,5/26,Jaun.,850  €/mēn.
Tiek izīrēts gaišs un silts studio tipa 2-istabu dzīvoklis. Dzīv,ĀgenskalnsKalnciema 1,2,42,3/5,Hrušč.,440  €/mēn.
"Mājīgs, saulains 2 istabu dzīvoklis, 4-stāvīgas ēka pirmajā stāv",ČiekurkalnsGaujas 47b,2,39,1/4,Renov.,320  €/mēn.
В аренду на длительный срок предлагается уютная квартира в новом,ĀgenskalnsKuldīgas 37a,2,55,1/4,Jaun.,525  €/mēn.
Īpašniece izīrē saulaino 119.sērijas vienistabas dzīvokli ar lab,ZolitūdeGramzdas 21,1,40,1/9,119.,300  €/mēn.
Izīrē ilgtermiņā 2.ist. dzīvokli. Dzīvokli ir viss nepieciešams,SarkandaugavaTvaika 16,2,49,1/5,Hrušč.,300  €/mēn.
"Visas ērtības. Saulains, silts dzīvoklis. 
+pilnība mēbelēts.",centrsPērnavas 39,1,56,5/6,P. kara,240  €/mēn.
"Visas ērtības. Saulains, silts dzīvoklis. 
+pilnība mēbelēts.",centrsLienes 25,1,27,2/2,P. kara,300  €/mēn.
Izīrē mājīgu dzīvokli privātmājā par zemām cenām. Dzīvoklis ir p,PurvciemsNīcgales 67,1,21,1/2,Priv. m.,250  €/mēn.
"Сдается эксклюзивная квартира в Тихом центре, в престижном посол",centrsPumpura 6,3,100,2/6,Jaun.,"2,000  €/mēn."
"Ilgtermiņa īrei tiek piedāvāts studijas tipa mājīgs, saulains ,",ZolitūdeAnniņmuižas 13,1,30,6/12,Specpr.,340  €/mēn.
"Izērēju 1 istabu dzīvokli, atrodas netālu no Rsu, ilgtermiņa. No",IļģuciemsDzirciema 43,1,30,5/5,LT proj.,200  €/mēn.
"Īpašnieks izīre vienistabu dzīvokli Rīgas centrā. 
Dzīvoklis ir",centrsKlusā 20,1,37,5/9,Renov.,300  €/mēn.
"Izīrē mēbelētu, labiekārtotu vienas istabas dzīvokli. Lieliski p",ĀgenskalnsValentīna 16,1,28,4/4,Renov.,325  €/mēn.
"Izīrē 2 istabu dzīvokli jaunajā projektā. 

Tas ir aprīkots ar",Maskavas priekšpilsētaKrāslavas 30,2,34,2/6,Jaun.,408  €/mēn.
"Īrei pieejams 2 istabu dzīvoklis jaunajā projektā. 

Dzīvoklis",Maskavas priekšpilsētaSadovņikova 31,2,35,2/7,Jaun.,429  €/mēn.
Kompakts vienistabu dzīvoklis 4. stāvā pieejams ilgtermiņa īrei.,PurvciemsIeriķu 33,1,31,4/5,LT proj.,200  €/mēn.
"Izīrē plašu, gaišu, pilnībā aprīkotu 3 istabu dzīvokli, kas sast",centrsVisvalža 1,3,96,2/4,P. kara,650  €/mēn.
"Izīrē 1 istabas dzīvokli, kas sastāv no 1 istabas un virtuves. D",centrsKlusā 7A,1,21,2/4,P. kara,160  €/mēn.
"Izīrēšu 48 m2 vienistabas dzīvokli. Visas ērtības, zemi komunāli",SarkandaugavaHāpsalas 15,1,45,4/7,Specpr.,220  €/mēn.
"Ilgtermiņā izīrējam 2 istabu dzīvokli. 
68 m2 plašs dzīvoklis d",Šampēteris-PleskodāleLielirbes 11,2,68,2/25,Jaun.,635  €/mēn.
Izirēju vienas istabas dzīvokli uz vienu dienakti vaj ilgterminā,ZiepniekkalnsKartupeļu 14,1,35,2/3,Priv. m.,35  €/dienā
"Hostel. 
Īzirēju gultas vietu istabā
50m2 plašā istabā .
Isat",ZiepniekkalnsKartupeļu 14,1,35,1/3,Priv. m.,15  €/dienā
Ilgtermiņa īrei tiek piedāvāts jauns 3 istabu dzīvoklis renovētā,centrsBlaumaņa 9А,3,48,6/6,Renov.,800  €/mēn.
"Īpašnieks izīrē trīsistabu dzīvokli Rīgas centrā, Ģertrūdes ielā",centrsĢertrūdes 51,3,60,2/5,P. kara,690  €/mēn.
"Īres maksā iekļauts Nīn un apsaimniekošana. 
Rezidentiem (for r",centrsTērbatas 49/51,5,145,3/6,P. kara,800  €/mēn.
"Īrei pieejams dzīvoklis (27 m2)
- Rīga, Āgenskalns, Tapešu iela",ĀgenskalnsTapešu 19,1,27,4/5,Hrušč.,260  €/mēn.
Sociāli nenodrošinātiem iedzīvotājiem. Palīdzība trūcīgā statusa,PļavniekiPļavnieku 6,2,16,5/9,602.,150  €/mēn.
Сдаю квартиру в Старой Риге. Отличная инфраструктура. Дом распол,VecrīgaSkārņu 9,3,80,4/6,Renov.,700  €/mēn.
"Uz kultūrvēsturiskās Bruņinieku ielas atrodas, mājīgs, kluss un",centrsBruņinieku 121,1,27,4/5,Renov.,450  €/mēn.
Attīstītājs izīrē skaistu 93 kvadrātmetru 2 istabu dzīvokli ar b,centrsMatīsa 69,2,93,2/7,Jaun.,900  €/mēn.
"Izīrē daļēji mēbelētu 2 istabu dzīvokli Purvciemā, Deglava ielā.",PurvciemsDeglava 51,2,57,3/9,119.,350  €/mēn.
"Сдаётся по суточно(минимум 3 суток) три спальных места, 1-комнат",PurvciemsPurvciema 50,1,40,2/5,M. ģim.,30  €/mēn.
"Izīrē, Сдаем, Rent
Izīrējam dzīvokli labā stāvoklī ar mēbelēm k",MežciemsDruvienas 18,1,34,6/9,103.,275  €/mēn.
Īpašnieks izīrē studio tipa 2 istabu dzīvokli Vēcrīgā. Dzīvojamā,VecrīgaVaļņu 19,2,58,4/7,Renov.,700  €/mēn.
"Īpašnieks izīrē studio tipa dzīvokli .

Turpat blakus atrodas",centrsBrīvības 176,1,16,2/3,Renov.,265  €/mēn.
Izīrē vienistabas dzīvokli pēc remonta. Ir pieejama jauna sadzīv,ImantaKurzemes pr. 142,1,35,6/9,602.,300  €/mēn.
