Title,Location,Rooms,Size,Floor,Series,Price
"Domina 4 min, pietura 3 min, īpaša ērta un klusa atrašanas vieta",PurvciemsŪnijas 28,1,34,4/5,Specpr.,295  €/mēn.
Tiek izīrēts mēbelēts 2-istabu dzīvoklis projektā “Skanstes virs,centrsJ. Daliņa 8,2,64,12/24,Jaun.,700  €/mēn.
"Tiek izīrēts gaišs un stilīgs dzīvoklis ar balkonu jaunā ēkā, pi",centrsStabu 18b,2,80,3/7,Jaun.,"1,350  €/mēn."
Ilgtermiņā izīrē (no 12 mēnešiem) plašu 4 istabu dzīvokli Rīgas,centrsRepublikas laukums 3,4,125,3/9,Jaun.,"1,300  €/mēn."
"Izīrēju 1 istabas dzīvokli Sarkandaugavā. 
+ iebūvēta virtuve",SarkandaugavaTvaika 54,1,24,1/5,Hrušč.,220  €/mēn.
Dzīvoklis uz ilgtermiņa īri (2 gadi. ) renovētā ēkā ar elegantu,centrsBlaumaņa 11,2,56,2/6,Renov.,950  €/mēn.
"Ērtā vietā, Rīgas centrā piedāvājam īrei istabu vietējiem ar kop",centrsČaka 114,1,16,2/5,P. kara,180  €/mēn.
"Izīre gaišu un modrnu dzīvokli izcilā vietā, blakus Jaunai Teika",TeikaBrīvības 205,2,44,5/5,Renov.,440  €/mēn.
"Izīrē izremontētu labiekārtotu vienistabas dzīvokli Rīgā, Tvaika",SarkandaugavaTvaika 34,1,33,3/5,Renov.,195  €/mēn.
Сдаётся квартира на втором этаже. Квартира состоит из двух изоли,Krasta r-nsZilupes 16,3,60,2/9,467.,430  €/mēn.
Ilgtermiņā tiek piedāvāts gaišs un ērts trīsistabu dzīvoklis pir,centrsMatīsa 18,3,72,3/6,P. kara,550  €/mēn.
"Izīrēju lielu gaišu istabu 36 m2, koplietošanas telpās. 350 Euro",centrsDzirnavu 4,1,36,4/4,P. kara,350  €/mēn.
"Сдаём посуточно и на короткие сроки 2x комнатную квартиру. 

В",ZolitūdeZolitūdes 46,2,56,4/9,119.,30  €/dienā
Ilgtermiņa īrei pieejams 2-istabu dzīvoklis pašā Rīgas centrā.,centrsĢertrūdes 34,2,64,3/6,P. kara,680  €/mēn.
Lv/eng/rus Izīrēju istabu divām personām ar visām ērtībām (gulta,ĀgenskalnsSlokas 28,1,16,2/1,P. kara,100  €/mēn.
"Lv/rus Es izīrēju istabu ar visām ērtībām (duša, virtuve, tualet",ĀgenskalnsSlokas 28,1,16,1/1,P. kara,30  €/dienā
Namīpašnieks izīrē (no 01.06.24.) dvistabu dzīvokli Brīvības un,centrsBrīvības 112,2,40,4/5,P. kara,320  €/mēn.
"Īpašnieks ilgtermiņa īrei piedāvā dzīvokļus renovētā namīpašumā,",centrsVīlandes 10,3,107,2/5,P. kara,"1,284  €/mēn."
Izīrē ilgtermiņā (vismaz 1 gads) trisistabu dzīvokli ar balkonu,Krasta r-nsMaskavas 190,3,58,8/9,Jaun.,790  €/mēn.
"Dzīvoklis Skanstes virsotnes 21. stāvā. 

Izīrē pilnībā mēbelē",centrsJ. Daliņa 8,3,168,21/23,Jaun.,"1,800  €/mēn."
"Краткосрочная аренда. 

Уютная, чистая 1-комнатная квартира в",PurvciemsVaidavas 2,1,35,4/5,Specpr.,30  €/dienā
Piedāvājumā plašs un gaišs 4-istabu dzīvoklis divos stāvos klusa,centrsEksporta 8,4,260,2/3,Renov.,"3,000  €/mēn."
"Izīrēju 2 istabu dzīvokli Purvciemā, Madonas ielā 23.
Specproje",PurvciemsMadonas 23,2,78,8/16,Specpr.,500  €/mēn.
Сдается квартира со всеми удобствами,IļģuciemsRiekstu 7,1,36,5/4,M. ģim.,200  €/mēn.
Izīrē dzīvokli ar balkonu jaunā projektā. Nav paredzēts trokšņai,PļavniekiSaharova 8,1,40,8/8,Jaun.,40  €/dienā
"Tiek izīrēts gaišs un saulains, trīsistabu dzīvoklis laba stāvok",centrsBruņinieku 28,3,81,5/6,P. kara,600  €/mēn.
"Īpašnieks izīrē vienas istabas dzīvokli Vecmīlgrāvī, dzīvokli ir",VecmīlgrāvisRūpnīcas 15,1,25,2/2,P. kara,150  €/mēn.
A great opportunity to rent cozy apartment for short or long tim,centrsVisvalža 3a,2,47,3/5,P. kara,430  €/dienā
Piedāvājam īrei 4 istabu dzīvokli Club Central Residence 7.stāvā,centrsBaznīcas 18A,4,142,7/7,Jaun.,"3,500  €/mēn."
"Piedāvāju plašu, dizaina, divistabu dzīvokli Āgenskalna centrā.",ĀgenskalnsMārupes 6,2,71,3/4,Renov.,750  €/mēn.
"Izīrē 1-istabas dzīvokli virtuve un istaba, dušas nav, tualete k",centrsLienes 19,1,30,2/2,P. kara,130  €/mēn.
"Izīrē 1-istabas dzīvokli, virtuve un istaba, malkas apkure, duša",Maskavas priekšpilsētaDaugavpils 53,1,35,5/5,Priv. m.,120  €/mēn.
"Izīrē elegantu, saulainu, klusu un mājīgu divstāvu dzīvokli Balo",ĀgenskalnsBaložu 33,4,98,3/3,Jaun.,"1,100  €/mēn."
"Izīrē 1-istabas dzīvokli, malkas apkure, koka māja, tualete iekš",PurvciemsStārķu 1,1,27,1/2,Priv. m.,120  €/mēn.
"Izīrē 2-ist dzīvokli, gaitenis, plaša virtuve, ar iebūvētu skapi",centrsLienes 15,2,45,1/1,Priv. m.,250  €/mēn.
"Tiek izīrēts dzīvoklis centrā, ar mēbelēm, duša tualete, tehnika",centrsLienes 15,1,30,2/5,P. kara,280  €/mēn.
Bez komisijas tiek izīrēts vienistabas dzīvoklis pilsētas centrā,centrsJēzusbaznīcas 7A,1,29,3/4,Specpr.,310  €/mēn.
"Сдается просторная, светла, двухкомнатная квартира после космети",centrsLienes 9,2,60,6/6,P. kara,350  €/mēn.
Сдается квартира в Плявниеки. Удобная планировка - две изолирова,PļavniekiSaharova 15,2,56,6/12,104.,300  €/mēn.
Komforta un augstas kvalitātes cienītājiem tiek piedāvāts gaišs,centrsRūpniecības 33,2,54,1/6,Jaun.,875  €/mēn.
"Īpašnieks izīrē nesen izremontētu, modernu, mēbelētu un jauku dz",centrsČaka 59,2,56,2/5,P. kara,400  €/mēn.
"Izīrē 1-istabas dzīvokli, virtuve, istaba, duša, tualate, malkas",centrsLienes 22,1,25,2/3,Priv. m.,150  €/mēn.
"Izīrē 1-istabas dzīvokli, virtuve, istaba, duša, tualete, apkure",centrsMatīsa 137,1,25,1/4,Priv. m.,250  €/mēn.
"Plašs trīsistabu dzīvoklis pašā Rīgas centrā. 

 Atrašanās vie",centrsBrīvības 19,3,115,4/6,Renov.,950  €/mēn.
Собственник сдает только что отремонтированную трехкомнатную ква,centrsČaka 31,3,50,3/5,Renov.,600  €/mēn.
"Plašs 4 istabu dzīvoklis renovētā namā, bez mēbelēm pilsētas cen",centrsBarona 63,4,118,5/5,Renov.,800  €/mēn.
Īpašnieks ilgtermiņā izīre 2-istabu mēbelētu dzīvokli Rīgas cent,Stacija-TirgusRiepnieku 2,2,74,2/6,Staļina,450  €/mēn.
Tiek izīrēts mēbelēts 1 -istabu dzīvoklis. Visā ēkā un dzīvoklī,Maskavas priekšpilsētaMaskavas 146,1,23,2/4,Specpr.,260  €/mēn.
"Izīrē dzīvokli dzīvojmās mājas projektā ""Park Alley""

+ Dzīvoj",centrsPulkv. Brieža 35,2,56,7/7,Jaun.,800  €/mēn.
Sākot ar 25.maiju tiek izīrēts plašs un silts divu istabu dzīvok,centrsJēzusbaznīcas 7A,2,43,3/4,Specpr.,400  €/mēn.
"Fasādes māja, labiekārtots apzaļumots pagalms, iežogota teritori",centrsPērnavas 61,2,42,3/3,P. kara,330  €/mēn.
Dzīvoklis ar iebūvētu virtuvi un sadzīves tehniku. Izolēta guļam,ZiepniekkalnsSkaistkalnes 17,2,40,3/5,Jaun.,450  €/mēn.
Īpašnieks ilgtermiņā izīrē saulainu un siltu dzīvokli blakus Jau,TeikaBrīvības 215B,1,30,5/5,Specpr.,290  €/mēn.
Ilgtermiņā tikai pieklājīgiem cilvēkiem renovētā mājā īrei tiek,KatlakalnsBauskas 207,2,50,5/9,602.,330  €/mēn.
Burvīgais 2 istabu studio tipa dzīvoklis ar terasi jaunajā proje,SarkandaugavaDuntes 28,2,42,3/16,Jaun.,40  €/dienā
Burvīgais 2 istabu studio tipa dzīvoklis jaunajā projektā “Dunte,centrsDuntes 28,2,40,2/16,Jaun.,40  €/dienā
"Izīrē 3 istabu dzīvokli Ādmiņu ielā 8.

Dzīvoklī ir divas izol",centrsĀdmiņu 8,3,60,5/5,Renov.,450  €/mēn.
"Tiek izīrēts dzīvoklis, kas ir aprīkots ar visu nepieciešamo , d",TorņakalnsLudviķa 2,1,24,2/4,P. kara,400  €/mēn.
Ilgtermiņā tiek izīrēts pavisam jauns divistabu dzīvoklis. Māja,centrsAvotu 46A,2,44,2/5,Renov.,680  €/mēn.
Izīrē plašu vienistabas dzīvokli pašā Ziepniekalna centrā. Dzīvo,ZiepniekkalnsOzolciema 36,1,45,5/9,M. ģim.,220  €/mēn.
"Pieejams no 10.06.2024
 Izīrēju Nr. 1 dzīvokli lieliskā vietā p",ĀgenskalnsOrmaņu 4,1,28,1/2,P. kara,260  €/mēn.
"Tiek izīrēts ilgtermiņā saulains, omulīgs vienistabas dzīvoklis",DārzciemsTrasuna 8,1,34,4/5,103.,240  €/mēn.
Ar 1. Jūniju tiek izīrēts 24 m2 1-istabas dzīvoklis blakus Ziedo,centrsMatīsa 49,1,24,1/3,P. kara,300  €/mēn.
Īpašnieks izīrē tikko izremontētu un siltu 1.istabu dzīvokli. Dz,ImantaAnniņmuižas 38 k-1,1,46,10/18,Jaun.,360  €/mēn.
"Сдаем 1-комнатную квартиру, со всеми удобствами, на территории а",ImantaJūrmalas g. 115b,1,50,2/2,Priv. m.,275  €/mēn.
"Pieejams no 12.06.2024.
Izīrē dzīvokli lieliskā vietā pie trans",ĀgenskalnsOrmaņu 4,1,30,2/2,P. kara,250  €/mēn.
Сдаётся 3 комнатная квартира в реставрированном здании в самом ц,centrsTērbatas 38,3,92,3/5,Renov.,600  €/mēn.
Piedāvajam īrēt 4-istabu dzīvokli Tērbatas ielā starp Elizabetes,centrsTērbatas 6/8,4,109,3/5,Renov.,"1,600  €/mēn."
"Cдаю отличную Двухэтажная квартиру. 
Квартира расположена на пр",MežaparksViestura pr. 83,5,150,2/2,Renov.,"1,200  €/mēn."
"Skaists fasādes dzīvoklis jaunajā projektā Rīgas centrā, starp T",centrsStabu 18b,3,110,3/7,Jaun.,"1,750  €/mēn."
Ekskluzīvs dzīvoklis jaunā projektā ar plašu terasi. Dzīvoklis a,centrsStabu 18b,2,104,6/7,Jaun.,"1,750  €/mēn."
"Izīrē 2-istabu dzīvokli renovētā mājā Rīgā, Slokas ielā 61.
Vei",DzegužkalnsSlokas 61,2,42,1/2,Renov.,500  €/mēn.
200 € все включено. Сдаю 1-комнату в 3-комнатной квартире. В ква,Krasta r-nsDzērvju 3,1,14,3/9,467.,200  €/mēn.
Īrei piedāvājam svaigi remontētu un labi aprīkotu divistabu dzīv,MežaparksGaujas 32,2,48,5/5,Specpr.,350  €/mēn.
"Burvīgs 2 istabu dzīvoklis projektā Hoffman Rezidence. 

Plāno",ĀgenskalnsKuģu 13,2,50,3/6,Jaun.,800  €/mēn.
"Tiek izīrēts izremontēts 1-istabas dzīvoklis Mežciemā. 
Daļēji",MežciemsEizenšteina 13,1,30,3/5,LT proj.,250  €/mēn.
Izireju 1ist. mazu dzivokli tikI vienam cilvekam. Dzivoklis saul,ĀgenskalnsKalnciema 7,1,14,3/3,P. kara,150  €/mēn.
"Izīrē jaunu 2istabu Studio dzīvokli Allažu ielā 5, Rīgas mikrora",centrsGanību d. 111,2,56,3/3,Jaun.,550  €/mēn.
Īpašnieks izīrē studijas tipa divistabu istabu dzīvokli pilsētas,centrsMartas 9,2,64,3/5,P. kara,600  €/mēn.
"Gaišs, mājīgs, silts dzīvoklis ilgtermiņā tiek izīrēts jaukiem c",TeikaBiķernieku 69,2,42,5/5,Hrušč.,330  €/mēn.
Īpašnieks ilgtermiņā izīrē gaišu un mājīgu 1 istabas dzīvokli bl,TorņakalnsBuru 15,1,32,1/2,P. kara,280  €/mēn.
Meklēju ilgtermiņa īrnieku svaigi izremontētam dzīvoklim. 1 ista,ĀgenskalnsMeteora 6,1,25,1/3,P. kara,240  €/mēn.
"Izīrē ilgtermiņā 4 istabu dzīvokli
atbildīgiem un maksātspējīgi",ĶengaragsLokomotīves 86,4,60,2/5,103.,400  €/mēn.
Сдается на длительный срок аккуратному человеку уютная студия в,centrsKlijānu 20,1,31,4/5,Renov.,480  €/mēn.
Uz ilgu laiku tiek izīrēts 3 istabu 602.serijas dzīvoklis. Dzīvo,BolderājaLemešu 11,3,62,5/9,602.,350  €/mēn.
"Lielisks dzīviklis , Tiirs, Gaiš, Saulains, Kluss, Viss jauns, k",SarkandaugavaAllažu 1,1,30,2/5,Hrušč.,300  €/mēn.
Īpašnieks uz ilgu laiku izīrē saulainu 2-istabu dzīvokli ar paze,PurvciemsStirnu 1,2,50,4/9,Jaun.,535  €/mēn.
"On rent good apartment with great location. 
In the apartment,",centrsVisvalža 7,4,90,3/5,Renov.,450  €/mēn.
"Izīrē tikko izremontētu 2-istabu dzīvokli projektā “Bajāri”, 3-s",PļavniekiJasmuižas 24,2,64,1/3,Jaun.,500  €/mēn.
"Dzivoklis tiko pec remonta. 

Izirējas -var skātities un iebra",GrīziņkalnsAvotu 50,1,23,3/4,P. kara,240  €/mēn.
Izīreju vienu istabu (18m2) komunālajā mājā. Centrālā apkure. Ko,TeikaBērzpils 75,1,18,2/2,Staļina,100  €/mēn.
"Izīrē vienistabas dzīvokli Imantā-4, uz ilgāku laiku. Plašs, sil",ImantaKurzemes pr. 120,1,36,6/9,602.,230  €/mēn.
"Kompakts, mājīgs un ļoti ekonomisks 2 istabu dzīvoklis īrei.",Maskavas priekšpilsētaRēznas 5,2,54,2/5,Staļina,300  €/mēn.
"Сдаю квартиру для одного человека, без животных и детей. 
Есть",centrsMatīsa 147,1,32,1/4,P. kara,210  €/mēn.
"Сдаётся на короткие сроки
Возможна почасовая аренда
Все Удобст",ImantaRigondas g. 8,1,37,7/9,602.,30  €/dienā
Владелец сдает 2-комн. квартиру со всеми удобствами. Не угловая.,TeikaKastrānes 3,2,46,5/5,LT proj.,300  €/mēn.
Сдаётся 1-комнатная квартира частично мебелированная. С новым ре,PurvciemsKalsnavas 2С,1,46,7/12,Specpr.,300  €/mēn.
"Unikāls 3 istabu dzīvoklis jaunajā projektā - “Futuris”. 

Dzī",centrsAntonijas 16a,3,90,1/6,Jaun.,"1,300  €/mēn."
"Ļoti peerfekta vieta, ērti, klusi, sava zemes teritorijā, zaļš p",PurvciemsPūces 15a,2,49,1/2,Specpr.,330  €/mēn.
"Izīrē 2 istabu dzīvokli Mežaparkā. Dzīvoklī Pvc logi, istabā lam",MežaparksĶempes 1,2,53,6/11,Specpr.,330  €/mēn.
В долгосрочную аренду предлагается стильная 2-комнатная квартира,TeikaVairoga 32,2,34,1/3,Jaun.,600  €/mēn.
"Вся инфраструктура рядом - магазины, детские сады, школы, общест",PurvciemsStaiceles 11,3,64,8/9,602.,300  €/mēn.
Izirē ilgtermiņā siltu dzīvokli pēc kosmetiskā remonta. Zemi kom,ĶengaragsGlūdas 15,2,59,5/5,LT proj.,400  €/mēn.
Īpašnieks izīrē kapitāli izremontēto dzīvokli ar studio tipa lie,PurvciemsDzelzavas 15,2,42,5/5,Hrušč.,450  €/mēn.
Посуточная аренда двухкомнатной квартиры  в Пурвциемсе. Квартира,PurvciemsStirnu 19а,2,40,2/5,LT proj.,35  €/dienā
"Светлая , не угловая квартира со всей необходимой мебелью и техн",ZiepniekkalnsOzolciema 54,1,38,8/9,602.,300  €/mēn.
Saimnieks izīrē ilgtermiņā 2 istabu dzīvokli 1.stāvā ar ērtībām,Maskavas priekšpilsētaLudzas 42A,2,45,1/5,Hrušč.,270  €/mēn.
Ilgtermiņā tiek izīrēts saulains dzīvoklis. Logi vērsti uz pagal,centrsTomsona 32,1,28,5/5,Hrušč.,300  €/mēn.
"Ilgtermiņā izīrē dzīvokli pēc remonta attīstīta vietā. 

Laba",PļavniekiIlūkstes 54/1,1,41,1/5,M. ģim.,300  €/mēn.
"Izīrēju uz dažādiem termiņiem mājīgu dzīvokli. 

Perfekta atra",centrsBrīvības 148,1,22,2/6,P. kara,35  €/dienā
"Izīrēju 3 istabu dzīvokli Rīgas Centrā, Visvalža ielā 7. Dzīvokl",centrsVisvalža 7,3,62,6/6,P. kara,580  €/mēn.
"Владелец сдаёт квартиру а новом проекте ""Skanstes Virsotnēs"". Ря",centrsJ. Daliņa 8,2,65,3/23,Jaun.,730  €/mēn.
Pēc kapitālā remonta izīrē 2-istabu dzīvokli Lastādījā ar skatu,centrsM. Krasta 39,2,53,4/4,P. kara,520  €/mēn.
"Предлагается для аренды трехкомнатная квартира. Квартира теплая,",MežciemsHipokrāta 47,3,64,2/9,602.,250  €/mēn.
Аренда квартир в Риге. 3 кровати. Домовладелеть сдает 1 комн. кв,centrsSadovņikova 47,2,30,4/5,P. kara,300  €/mēn.
Īpašnieks piedāvā ilgtermiņa īrei 2 istabu dzīvokli Vecā Jūrmala,DzegužkalnsJūrmalas g. 1B,2,48,2/12,Čehu pr.,321  €/mēn.
"Ilgtermiņā tiek izīrēts oficiāli strādājošam vienam cilvēkam, pā",ĶengaragsMaskavas 243,1,33,5/9,467.,285  €/mēn.
"Izīrējas 1 istabu dzīvoklis ar daļējām ērtībām, tualete kāpnu te",BieriņiRaudas 6,1,18,2/2,P. kara,120  €/mēn.
Меблированная и полностью оборудованная квартира в центре Риги.,centrsBarona 125,2,39,2/6,P. kara,386  €/mēn.
Izīrē 27 m2 dzīvokli renovētā jūgendstila ēkā Alfrēda Kalniņa ie,centrsKalniņa 1,1,27,4/5,Renov.,400  €/mēn.
Izīrējam 1 istabas dzivokli Jaunbūvē. Dzīvoklis labiekārtots. Sm,PurvciemsUpeņu 19,1,35,2/8,Jaun.,45  €/dienā
"Сдаётся квартира на длительный срок, 230 евро + коммунальные пла",PurvciemsĶeguma 52,2,53,3/5,103.,230  €/mēn.
Spacious one bedroom apartment with two bathrooms available for,centrsKalniņa 6,2,80,5/5,Renov.,750  €/mēn.
Хозяин сдаёт 2-х комнатную квартиру на 1 этаже нового 4-х этажно,ZolitūdeAnniņmuižas 20,2,56,1/4,Jaun.,400  €/mēn.
"Īpašnieks izīrē dzīvokli ar visām ērtībām, labā vietā, tīru, sil",TorņakalnsKoku 15,1,38,6/6,M. ģim.,279  €/mēn.
Квартира после свежего ремонта в солнечно-тёплых тонах. Пахнет с,SarkandaugavaSliežu 1,1,20,5/5,Jaun.,240  €/mēn.
"Сдам квартиру, желательно на длительный срок. Теплая, не шумный",MežciemsEizenšteina 19,2,49,4/5,LT proj.,400  €/mēn.
Сдам в аренду на срок от 1 года абсолютно новую квартиру с личны,ZiepniekkalnsTumes 25,2,46,5/6,Jaun.,630  €/mēn.
"Сдается 2-комнатная квартира, спальня, гостиная, кухня, ванная с",ImantaKurzemes pr. 54,2,51,3/5,LT proj.,300  €/mēn.
"Сдается 2 Комнатная Квартира в Центре Риги - Стабу 118, Этаж 1/5",centrsStabu 118,2,46,1/5,P. kara,330  €/mēn.
"2 istabas dzīvokli Sarkandaugavā, Aptiekas ielā17b. 
Studija un",SarkandaugavaAptiekas 17B,2,26,2/2,Renov.,335  €/mēn.
"Atsevišķs viesnīcas tipa dzīvoklis, īrei uz ilgstošu laiku. Numu",centrsLāčplēša 147,1,15,1/4,Jaun.,230  €/mēn.
"Dzīvoklis ar privātu Spa kompleksu pilsētas centrā, īre pa stund",centrsBarona 88,2,75,1/3,Specpr.,40  €/dienā
"Izīrēju skaistu, klusu dzīvokli ar balkonu Barona ielā (starp Dz",centrsBarona 21,1,35,4/5,P. kara,25  €/dienā
"Большой балкон. Возможна парковка. После ремонта. 
Полностью бл",centrsMerķeļa 8,2,50,5/5,P. kara,50  €/dienā
Tiek izīrēts uz ilgu laiku skaists un silts 1 istabu dzīvoklis a,ZiepniekkalnsDižozolu 27,1,32,6/9,602.,280  €/mēn.
"Tiek izīrēts plašs un moderni aprīkots dzīvoklis. 
Viena izolēt",centrsRūpniecības 27,2,59,1/6,Jaun.,"1,000  €/mēn."
Izīrē 2-istabu dzīvokli kompleksā Panorama Plaza. Dzīvoklis ir m,Šampēteris-PleskodāleLielirbes 13,2,68,8/30,Jaun.,600  €/mēn.
Piedāvājam īrēt gaišu 2-istabu dzīvokli renovētā mājā Tērbatas i,centrsTērbatas 26,2,28,3/5,Renov.,530  €/mēn.
"Izīrē ļoti siltu un gaišu dzīvokli pašā pilsētas centrā. 
Augst",centrsDzirnavu 115,1,36,3/5,P. kara,400  €/mēn.
"Logi uz abām mājas pusēm
- bez mēbelēm
- iebūvēta virtuve 
-",JuglaBrīvības 395,2,42,3/5,Hrušč.,250  €/mēn.
Tiek izīrēts divistabu dzīvoklis Dignājas ielā 3B. Viena istaba,ZiepniekkalnsDignājas 3b,2,54,1/6,Jaun.,450  €/mēn.
"Tieks izīrēts gaišs, svaigi izremontēts un restaurēta dzīvoklis.",centrsAvotu 7,2,49,2/5,P. kara,650  €/mēn.
"Izīrē 1-istabas dzīvokli zaļā rajonā. Min. termiņš 1 gads, depoz",TeikaRaunas 35,1,30,2/5,Hrušč.,270  €/mēn.
Meklējam apakšīrnieku savam dzīvoklim uz mūsu prombūtnes laiku n,centrsKronvalda bulv. 10,4,150,5/5,P. kara,"1,000  €/mēn."
"Izcils piedāvājums. Iespēja ilgtermiņā īrēt ļoti ekonomisku, tik",IļģuciemsBaltā 2,3,44,1/3,M. ģim.,420  €/mēn.
"Ilgstošai īrei ( no viena gada) piedāvāju plašu, siltu 3-īs ista",centrsArtilērijas 6,3,90,4/5,P. kara,750  €/mēn.
Tiek izīrēts divistabu dzīvoklis Purvciemā. Istabas izolētas. La,PurvciemsDzelzavas 15/1,2,43,1/5,Hrušč.,370  €/mēn.
Piedāvājam istabu labiekārtotā dzīvoklī pēc remonta ar individuā,centrsBruņinieku 25,2,23,3/3,Specpr.,315  €/mēn.
"Tiek izīrēts 1ist. dzīvoklis 32kv. m. , uz ilgu laiku, dzīvoklis",Krasta r-nsPļaviņu 15,1,32,8/9,467.,300  €/mēn.
"Шикарная квартира, новая мебель и техника сдаётся на долгий срок",TorņakalnsVienības g. 29,1,29,4/5,P. kara,350  €/mēn.
"Majigs, saulains un omuligs dzivoklitis. Ar malkas apkuri. Pagal",ĀgenskalnsAltonavas 20,2,30,2/2,P. kara,260  €/mēn.
Īpašnieks izīrē 3-istabu dzīvokli. Renovēta gaiša pagalma māja 2,Maskavas priekšpilsētaLudzas 56,3,60,2/5,Renov.,450  €/mēn.
Īpašnieks īrē 2-istabu 52m2 dzīvokli centrā Skolas iela 30-2 stā,centrsSkolas 30,2,52,2/6,P. kara,490  €/mēn.
"Īpašniece piedāvā īrēt gaišu, plašu un mājīgu 2 atsevišķu istabu",centrsSenču 5,2,64,3/4,P. kara,469  €/mēn.
"No 300Eur/mēn. (1cilvēkam, iespēja izlīdzināt maksājumus - ziemā",PļavniekiJasmuižas 2,2,50,3/9,602.,300  €/mēn.
Сдам теплую и светлую 1-комнатную квартиру 103 серии в сердце Пу,PurvciemsIlūkstes 101/1,1,36,3/5,103.,280  €/mēn.
Piedāvāju Jums izīrēt gaumīgu 3. istabu apartamentus pēc kosmēti,PurvciemsIeriķu 24,3,49,2/2,Staļina,415  €/mēn.
Jauns omulīgs 2-istabu dzīvoklis projektā “Trebū Home” ar skaist,PļavniekiKupriču 1,2,54,3/6,Jaun.,600  €/mēn.
"Īpašnieks, sākot ar 01.06.24. izīrē uz ilgāku laiku vienistabas",centrsPulkv. Brieža 17,1,25,5/7,Specpr.,350  €/mēn.
Квартира в самом центре Риги на Домской площади. Студия с кухонн,centrsŠķūņu 16,1,25,5/6,P. kara,35  €/dienā
"Tiek izīrēts jauns, dizainiski iekārtots un mēbelēts dzīvoklis e",centrsRaiņa bulv. 27,2,46,5/5,Renov.,"1,100  €/mēn."
"Izīrē 3 istabu dzīvokli Rīgas centrā iekšpagalma mājā. 
- Dzīvo",centrsTērbatas 59/61,3,68,3/6,P. kara,750  €/mēn.
"Izīrē gaišu, tīru 2-istabu dzīvokli ar visām ērtībām, aprīkotu v",PurvciemsNīcgales 25,2,54,3/5,Specpr.,380  €/mēn.
"Īpašnieks izīrē 1 istabas studijas tipa dzīvokli, uz ilgtošu per",centrsBruņinieku 99,1,23,1/4,P. kara,270  €/mēn.
Сдается светлая меблированная студия в Ильгуциемс. На кухне инду,IļģuciemsDzirciema 82,1,25,2/2,Priv. m.,300  €/mēn.
"Apartment for a long-time rent. Old Riga, landscaped yard, quiet",VecrīgaJāņa 3,2,72,3/4,P. kara,600  €/mēn.
"К аренде предлагается квартира -студия, оборудованная всей необх",PurvciemsZileņu 12,1,35,5/5,Jaun.,320  €/mēn.
Собственник сдаёт на длительный срок квартира-студия в новом про,Maskavas priekšpilsētaMaskavas 190,1,35,4/9,Jaun.,399  €/mēn.
"Izīrēju vien istabu dzīvokli, studijas tipa, Rīgas centrā. Līdz",centrsKatrīnas 3,1,30,3/5,Hrušč.,280  €/mēn.
"Tiek izīrēts gaišs un silts 2-ist. dzīvoklis pašā Centrā. 
- pl",centrsLāčplēša 53,2,47,3/5,Renov.,500  €/mēn.
"После кап. ремонта сдаётся 2-ух комнатная квартира 

Район Бот",ZasulauksVecā Jūrmalas g. 3-к2,2,32,1/9,103.,450  €/mēn.
Tiek izīrēts 3 istabas dzīvoklis klusā vēstniecības rajonā starp,centrsVīlandes 5,3,78,3/5,Renov.,500  €/mēn.
"Izīrē dzīvokli Rīgā, Vecrīgā. Piedāvājam ilgtermiņa (minimums 1",VecrīgaVaļņu 4,3,95,3/6,Jaun.,"1,500  €/mēn."
Izīrē elegantu divu stāvu 5 istabu dzīvoklis nesen renovētā mājā,MežaparksViestura pr. 83,5,150,2/3,Renov.,"1,100  €/mēn."
"Burvīgs studijas tipa dzīvoklis, kas piepildīts ar gaismu un māj",PurvciemsStirnu 37,1,36,7/9,602.,300  €/mēn.
"Izīrē jaunu 2-istabu mēbelētu dzīvokli jaunajā projektā ""Kuldiga",ĀgenskalnsGregora 2,2,51,5/7,Jaun.,600  €/mēn.
"Izīrē 1 istabas dzīvokli tuvējā Ziepniekkalnā, Irbenes ielā. 2.",ZiepniekkalnsIrbenes 14,1,36,2/5,103.,280  €/mēn.
Izīrē jaunu un mēbelētu 2-istabu dzīvokli restaurētā eklektisma,centrsPulkv. Brieža 10,2,42,2/5,Renov.,820  €/mēn.
Eng: A beautiful 3-room apartment is open for long-term rent in,centrsElizabetes 22,3,74,4/6,P. kara,"1,500  €/mēn."
Сдаю 1-ую квартиру на длительный срок. Желательно без животных.,PurvciemsIlūkstes 101/1,1,38,2/5,103.,250  €/mēn.
С 01.02.2024 сдаётся 1-комнатная квартира на длительный срок. Во,ĀgenskalnsNomales 8,1,33,4/4,Hrušč.,240  €/mēn.
"Izīrē divistabu dzīvokli Dzimtsarakstu nodaļas rajonā. 
Istabas",ĶengaragsMaskavas 291,2,50,3/5,LT proj.,250  €/mēn.
"Pieejams ilgtermiņa īrei unikāls, četru istabu dzīvoklis Buļļu i",IļģuciemsBuļļu 33,4,147,6/6,Jaun.,"1,100  €/mēn."
"Izīrē vienu istabu privātmājas pirmajā stāvā, tikai vienai sievi",PļavniekiIlūkstes 55,1,10,1/2,Priv. m.,150  €/mēn.
For rent a wide and sunny apartment in exclusive location - emba,centrsVīlandes 8,4,145,5/5,Renov.,"1,750  €/mēn."
